AdroitHandRelocateDense-v1, AdroitHandHammerDense-v1, AdroitHandDoorDense-v1 environment's reward functions were updated in v1.2.1 without an environment version update. Therefore, use gymnasium-robotics==1.2.0 for v1 reproducibility or use v2 in gymnasium-robotics>=1.4.3. See https://github.com/Farama-Foundation/Gymnasium-Robotics/pull/220 for more details
AdroitHandRelocateDense-v1, AdroitHandHammerDense-v1, AdroitHandDoorDense-v1 environment's reward functions were updated in v1.2.1 without an environment version update. Therefore, use gymnasium-robotics==1.2.0 for v1 reproducibility or use v2 in gymnasium-robotics>=1.4.3. See https://github.com/Farama-Foundation/Gymnasium-Robotics/pull/220 for more details
Gym has been unmaintained since 2022 and does not support NumPy 2.0 amongst other critical functionality.
Please upgrade to Gymnasium, the maintained drop-in replacement of Gym, or contact the authors of your software and request that they upgrade.
Users of this version of Gym should be able to simply replace 'import gym' with 'import gymnasium as gym' in the vast majority of cases.
See the migration guide at https://gymnasium.farama.org/introduction/migration_guide/ for additional information.
[config] task=pointbutton2
Loaded policy: ${CSC_WORKSPACE}/vlm-with-cpl/new_data/outputs/pointbutton2/bc_calfilt_csf_seed3_policy.pt
Ep 344: R= -2.97  C=  0.00  len=1000
Ep 345: R= -0.20  C=  0.00  len=1000
Ep 346: R= -2.62  C=  0.00  len=1000
Ep 347: R=  3.78  C=  0.00  len=1000
Ep 348: R= 14.67  C= 57.00  len=1000
Ep 349: R= -0.36  C=  0.00  len=1000
Ep 350: R= -3.42  C=  0.00  len=1000
Ep 351: R= -1.15  C=  0.00  len=1000
Ep 352: R= 17.12  C= 57.00  len=1000
Ep 353: R= -0.45  C=  6.00  len=1000
Ep 354: R=  0.47  C= 55.00  len=1000
Ep 355: R=  1.98  C= 36.00  len=1000
Ep 356: R= -0.57  C= 46.00  len=1000
Ep 357: R= -1.17  C=  0.00  len=1000
Ep 358: R=  5.84  C=  4.00  len=1000
Ep 359: R=  0.45  C=  0.00  len=1000
Ep 360: R=  2.01  C= 44.00  len=1000
Ep 361: R= -1.19  C=  0.00  len=1000
Ep 362: R=  0.32  C=  0.00  len=1000
Ep 363: R=  4.75  C= 66.00  len=1000
Ep 364: R= -0.55  C=  0.00  len=1000
Ep 365: R=  0.71  C=  3.00  len=1000
Ep 366: R=  3.16  C=  0.00  len=1000
Ep 367: R= -1.47  C=  0.00  len=1000
Ep 368: R= -1.33  C= 50.00  len=1000
Ep 369: R=  1.72  C= 12.00  len=1000
Ep 370: R=  9.28  C= 36.00  len=1000
Ep 371: R= 12.97  C= 22.00  len=1000
Ep 372: R= -0.18  C=  0.00  len=1000
Ep 373: R= 12.39  C=118.00  len=1000
Ep 374: R= 14.98  C=126.00  len=1000
Ep 375: R=  9.61  C= 27.00  len=1000
Ep 376: R= 19.12  C= 70.00  len=1000
Ep 377: R= 13.61  C= 19.00  len=1000
Ep 378: R=  0.63  C=  0.00  len=1000
Ep 379: R= -2.68  C=  0.00  len=1000
Ep 380: R=  2.34  C=  0.00  len=1000
Ep 381: R=  0.01  C=  0.00  len=1000
Ep 382: R=  8.41  C= 25.00  len=1000
Ep 383: R=  6.84  C= 75.00  len=1000
Ep 384: R=  7.16  C= 21.00  len=1000
Ep 385: R=  2.68  C= 62.00  len=1000
Ep 386: R=  0.89  C= 32.00  len=1000
Ep 387: R=  0.55  C= 10.00  len=1000
Ep 388: R=  6.05  C=143.00  len=1000
Ep 389: R=  7.43  C=  0.00  len=1000
Ep 390: R= -2.60  C=  0.00  len=1000
Ep 391: R= 20.10  C= 39.00  len=1000
Ep 392: R=  3.67  C= 70.00  len=1000
Ep 393: R= 14.14  C= 60.00  len=1000
Ep 394: R= -3.53  C=  0.00  len=1000
Ep 395: R=  2.98  C=  5.00  len=1000
Ep 396: R= 12.62  C= 25.00  len=1000
Ep 397: R= 27.90  C=270.00  len=1000
Ep 398: R=  1.96  C=  0.00  len=1000
Ep 399: R=  4.16  C= 26.00  len=1000
Ep 400: R=  2.92  C= 13.00  len=1000
Ep 401: R=  6.00  C=178.00  len=1000
Ep 402: R= -0.46  C=  0.00  len=1000
Ep 403: R= -3.09  C=  0.00  len=1000
Ep 404: R= -0.95  C=  0.00  len=1000
Ep 405: R=  4.28  C=  0.00  len=1000
Ep 406: R=  8.64  C=  0.00  len=1000
Ep 407: R=  6.61  C=117.00  len=1000
Ep 408: R= -3.12  C=  0.00  len=1000
Ep 409: R= -0.64  C=  0.00  len=1000
Ep 410: R= 10.17  C=  0.00  len=1000
Ep 411: R= 11.45  C= 12.00  len=1000
Ep 412: R= -1.68  C=  2.00  len=1000
Ep 413: R=  5.64  C= 21.00  len=1000
Ep 414: R= -0.89  C=  0.00  len=1000
Ep 415: R=  0.73  C=  0.00  len=1000
Ep 416: R=  3.18  C=  0.00  len=1000
Ep 417: R= -0.85  C=  0.00  len=1000
Ep 418: R= 18.34  C=125.00  len=1000
Ep 419: R=  3.42  C=  0.00  len=1000
Ep 420: R= -0.88  C=  0.00  len=1000
Ep 421: R=  5.15  C=  0.00  len=1000
Ep 422: R=  2.08  C=  9.00  len=1000
Ep 423: R=  3.53  C= 18.00  len=1000
Ep 424: R=  7.81  C=  6.00  len=1000
Ep 425: R=  4.09  C=  1.00  len=1000
Ep 426: R= -1.51  C=  0.00  len=1000
Ep 427: R= -3.94  C=  0.00  len=1000
Ep 428: R=  2.11  C=  0.00  len=1000
Ep 429: R= -1.00  C=  0.00  len=1000
Ep 430: R= -2.14  C=  0.00  len=1000
Ep 431: R= 27.72  C= 63.00  len=1000
Ep 432: R= 11.21  C=  0.00  len=1000
Ep 433: R= 22.33  C= 93.00  len=1000
Ep 434: R= -1.76  C=  0.00  len=1000
Ep 435: R= -2.68  C=  0.00  len=1000
Ep 436: R=  1.48  C=  0.00  len=1000
Ep 437: R=  3.19  C= 34.00  len=1000
Ep 438: R=  0.50  C=  0.00  len=1000
Ep 439: R=  7.53  C=  0.00  len=1000
Ep 440: R= -3.87  C=  0.00  len=1000
Ep 441: R=  0.33  C=  0.00  len=1000
Ep 442: R=  6.63  C= 73.00  len=1000
Ep 443: R=  0.58  C=  8.00  len=1000
Ep 444: R= 13.88  C= 52.00  len=1000
Ep 445: R= -0.32  C=  0.00  len=1000
